matricula_id,aluno_id,oferta_id,ano,materia_declarada,data_matricula,bolsa_percentual,status_matricula,nota_diagnostico,origem_captacao
M0001341,A00109,O20250191,2025,BIOLOGIA,2025-02-27,20,Concluída,46.2,Instagram
M0001342,A00109,O20250197,2025,Filosofia,2025/03/25,30,Ativa,71.5,Indicação
M0001343,A00109,O20250189,2025,Física,2025-03-01,0,Concluída,65.5,Feira escolar
M0001344,A00109,O20250193,2025,Geografia,2025-02-14,25,,51.3,Instagram
M0001345,A00109,O20250192,2025,Historia,04-03-2025,30,Concluída,45.5,Instagram
M0001346,A00109,O20250196,2025,Inglês,2025-04-06,,Ativa,52.0,Feira escolar
M0001347,A00109,O20250188,2025,Matemática,2025-04-15,20,Concluída,54.2,Indicação
M0001348,A00109,O20250194,2025,Português,2025-02-20,50,Concluída,56.2,
M0001349,A00109,O20250190,2025,Química,2025-02-09,10,Concluída,68.4,Indicação
M0001350,A00109,O20250195,2025,Redação,01-17-2025,0,Concluída,38.2,Feira escolar
M0001351,A00109,O20250198,2025,Sociologia,2025-02-16,10,Ativa,48.4,Google
M0001352,A00110,O20220059,2022,Biologia,2022-01-25,0,Concluída,71.0,
M0001353,A00110,O20220057,2022,Física,2022-01-14,0,Concluída,69.8,Instagram
M0001354,A00110,O20220056,2022,Matemática,2022-02-04,0,Ativa,78.7,WhatsApp
M0001355,A00110,O20220062,2022,Português,2022-04-08,20,Ativa,81.1,WhatsApp
M0001356,A00110,O20220063,2022,Redação,2022-01-13,50,Concluída,74.5,Instagram
M0001357,A00110,O20220066,2022,Sociologia,03-26-2022,0,Ativa,43.5,
M0001358,A00111,O20240169,2024,Biologia,2024-03-20,25,Trancada,39.0,Feira escolar
M0001359,A00111,O20240175,2024,Filosofia,2024-01-18,0,Concluída,60.8,
M0001360,A00111,O20240167,2024,Física,2024-01-17,0,Concluída,45.5,Feira escolar
M0001361,A00111,O20240171,2024,Geografia,2024-03-09,15,Concluída,66.0,Indicação
M0001362,A00111,O20240170,2024,História,2024-04-18,,Concluída,57.3,Google
M0001363,A00111,O20240174,2024,Inglês,2024-03-06,20,Concluída,42.4,Google
M0001364,A00111,O20240166,2024,Matemática,2024-01-21,0,Concluída,41.5,WhatsApp
M0001365,A00111,O20240172,2024,Português,2024-01-16,,Trancada,56.0,Instagram
M0001366,A00111,O20240168,2024,Química,2024-02-26,0,Concluída,63.7,Instagram
M0001367,A00111,O20240173,2024,Redacao,2024-02-25,10,concluida,69.1,Indicação
M0001368,A00111,O20240176,2024,SOCIOLOGIA,2024-04-19,0,Ativa,69.9,WhatsApp
M0001369,A00111,O20250186,2025,Filosofia,2025-04-25,,Concluída,98.6,Indicação
M0001370,A00111,O20250178,2025,Física,2025-02-11,25,Concluída,47.4,
M0001371,A00111,O20250181,2025,História,2025-02-14,30,Ativa,43.2,
M0001372,A00111,O20250185,2025,Inglês,2025-02-08,20,Concluída,47.8,
M0001373,A00111,O20250177,2025,Matemática,2025-04-08,20,Ativa,44.8,Instagram
M0001374,A00111,O20250183,2025,Português,2025-02-18,10,Cancelada,41.8,Indicação
M0001375,A00111,O20250184,2025,Redação,2025-03-22,25,Concluída,45.4,Google
M0001376,A00112,O20210004,2021,Biologia,2021-04-20,15,Ativa,71.1,Google
M0001377,A00112,O20210010,2021,Filosofia,2021-03-07,0,Concluída,48.3,Indicação
M0001378,A00112,O20210002,2021,Fisica,2021-04-19,0,Concluída,69.9,Feira escolar
M0001379,A00112,O20210006,2021,Geografia,2021-04-27,30,Concluída,51.1,Instagram
M0001380,A00112,O20210005,2021,História,2021-02-10,0,Ativa,68.4,
M0001381,A00112,O20210009,2021,Inglês,2021-04-07,,Concluída,71.9,WhatsApp
M0001382,A00112,O20210001,2021,Matemática,2021-02-02,0,Cancelada,53.2,Indicação
M0001383,A00112,O20210007,2021,Português,2021-03-10,0,Ativa,65.5,Google
M0001384,A00112,O20210003,2021,Química,2021-04-07,,Ativa,42.3,Feira escolar
M0001385,A00112,O20210008,2021,Redação,04-15-2021,10,Cancelada,44.3,
M0001386,A00112,O20210011,2021,Sociologia,2021-04-05,10,Ativa,57.7,WhatsApp
M0001387,A00113,O20240142,2024,Filosofia,2024-04-26,30,Concluída,50.3,Indicação
M0001388,A00113,O20240134,2024,Física,2024-03-08,0,Ativa,62.5,
M0001389,A00113,O20240138,2024,Geografia,2024-03-20,50,Concluída,46.8,WhatsApp
M0001390,A00113,O20240133,2024,Matemática,2024-03-07,10,Concluída,60.2,Indicação
M0001391,A00113,O20240139,2024,Portugues,2024/02/12,0,Concluída,66.7,WhatsApp
M0001392,A00113,O20240135,2024,Quimica,15/03/2024,10,Concluída,65.9,Indicação
M0001393,A00113,O20240140,2024,Redação,2024/02/19,50,Trancada,69.1,Indicação
M0001394,A00113,O20240143,2024,Sociologia,2024-01-10,0,Ativa,47.1,Google
M0001395,A00113,O20250191,2025,Biologia,2025-02-05,,Concluída,54.3,WhatsApp
M0001396,A00113,O20250189,2025,Física,2025-01-22,0,Ativa,61.1,Feira escolar
M0001397,A00113,O20250196,2025,Inglês,2025-04-23,50,Concluída,81.8,Indicação
M0001398,A00113,O20250188,2025,Matemática,2025-01-10,,concluida,75.6,Indicação
M0001399,A00113,O20250194,2025,Português,2025-04-05,0,Ativa,32.7,
M0001400,A00113,O20250195,2025,Redação,2025-04-07,25,Ativa,57.9,Google
M0001401,A00113,O20250198,2025,Sociologia,2025-03-19,0,Concluída,53.5,
M0001402,A00114,O20220076,2022,Filosofia,2022-04-27,15,Concluída,61.3,Instagram
M0001403,A00114,O20220068,2022,Física,2022-02-26,0,Concluída,45.9,Google
M0001404,A00114,O20220072,2022,Geografia,2022-03-13,25,Trancada,63.5,Feira escolar
M0001405,A00114,O20220067,2022,MATEMÁTICA,2022-03-20,0,,70.9,Instagram
M0001406,A00114,O20220073,2022,Português,2022-01-13,10,Concluída,52.5,Instagram
M0001407,A00114,O20220069,2022,Química,2022-01-27,15,Concluída,72.4,Feira escolar
M0001408,A00114,O20220074,2022,Redação,2022-03-23,0,Ativa,53.8,Feira escolar
M0001409,A00114,O20220077,2022,Sociologia,2022/03/19,50,Ativa,46.7,
M0001410,A00114,O20230090,2023,Física,2023-03-12,20,Concluída,76.9,Indicação
M0001411,A00114,O20230093,2023,História,2023-01-18,10,Concluída,46.4,Feira escolar
M0001412,A00114,O20230089,2023,Matemática,2023-03-01,25,Ativa,24.5,WhatsApp
M0001413,A00114,O20230095,2023,Português,2023-03-09,,Concluída,56.6,WhatsApp
M0001414,A00114,O20230091,2023,Química,01/04/2023,0,Concluída,46.3,
M0001415,A00114,O20230096,2023,Redação,2023-03-21,25,Cancelada,85.0,WhatsApp
M0001416,A00114,O20230099,2023,Sociologia,2023-02-09,10,Concluída,75.0,Google
M0001417,A00115,O20210004,2021,Biologia,2021-03-21,30,Concluída,61.1,
M0001418,A00115,O20210010,2021,Filosofia,2021-04-15,0,concluida,44.2,Feira escolar
M0001419,A00115,O20210002,2021,Fisica,2021-01-07,0,Ativa,33.2,Indicação
M0001420,A00115,O20210009,2021,Inglês,2021-03-18,50,concluida,28.3,Instagram
M0001421,A00115,O20210001,2021,Matemática,2021-02-20,25,Concluída,64.6,Google
M0001422,A00115,O20210007,2021,Português,2021-02-15,10,Concluída,61.6,WhatsApp
M0001423,A00115,O20210003,2021,Química,2021-03-09,25,Trancada,51.7,Indicação
M0001424,A00115,O20210008,2021,Redação,2021-04-22,50,Concluída,47.4,Indicação
M0001425,A00115,O20210011,2021,Sociologia,2021-02-10,0,Concluída,39.8,Instagram
M0001426,A00115,O20220070,2022,Biologia,2022-01-08,10,Ativa,42.5,Google
M0001427,A00115,O20220072,2022,Geografia,2022-04-26,0,Concluída,79.1,Google
M0001428,A00115,O20220071,2022,História,2022-02-08,15,Ativa,70.4,Google
M0001429,A00115,O20220075,2022,Ingles,2022-04-22,0,Ativa,76.6,Instagram
M0001430,A00115,O20220067,2022,Matemática,2022-01-14,,Concluída,26.6,Instagram
M0001431,A00115,O20220073,2022,Português,2022-03-02,50,,30.7,
M0001432,A00115,O20220069,2022,Química,2022-04-06,10,Concluída,60.7,
M0001433,A00115,O20220074,2022,Redação,2022/04/25,0,Concluída,62.6,Instagram
M0001434,A00116,O20250202,2025,Biologia,2025-04-09,15,Ativa,65.2,Indicação
M0001435,A00116,O20250207,2025,Inglês,2025-04-22,0,Concluída,37.7,
M0001436,A00116,O20250199,2025,Matemática,2025-02-12,0,Cancelada,51.8,Indicação
M0001437,A00116,O20250205,2025,Português,2025-02-16,25,Cancelada,75.7,Instagram
M0001438,A00116,O20250201,2025,Química,2025-01-10,25,Concluída,69.0,WhatsApp
M0001439,A00116,O20250206,2025,Redação,2025-02-13,25,Concluída,55.3,
M0001440,A00116,O20250209,2025,Sociologia,03-05-2025,,Concluída,92.9,Indicação
M0001441,A00117,O20240169,2024,Biologia,2024-03-21,30,Ativa,57.1,WhatsApp
M0001442,A00117,O20240175,2024,Filosofia,2024-03-01,20,Concluída,45.9,
M0001443,A00117,O20240167,2024,Física,2024/04/27,25,Concluída,45.8,Indicação
M0001444,A00117,O20240170,2024,História,2024-04-01,0,Ativa,34.0,Indicação
M0001445,A00117,O20240174,2024,Inglês,2024-01-27,,Ativa,81.8,Instagram
M0001446,A00117,O20240166,2024,Matematica,2024-04-08,0,,68.2,WhatsApp
M0001447,A00117,O20240172,2024,Português,2024-04-24,15,Ativa,58.8,Google
M0001448,A00117,O20240168,2024,Química,2024-04-25,0,Cancelada,47.0,Feira escolar
M0001449,A00117,O20240173,2024,Redação,2024-01-25,25,Concluída,52.9,Instagram
M0001450,A00117,O20240176,2024,Sociologia,2024-04-21,15,Concluída,67.0,Instagram
M0001451,A00118,O20240158,2024,Biologia,2024-03-16,25,Ativa,56.5,Google
M0001452,A00118,O20240164,2024,Filosofia,2024-04-06,20,Concluída,63.8,Feira escolar
M0001453,A00118,O20240156,2024,Física,2024-02-10,0,Concluída,68.8,
M0001454,A00118,O20240159,2024,História,2024-03-24,15,Cancelada,41.0,
M0001455,A00118,O20240155,2024,Matemática,2024-02-22,20,Concluída,65.5,Feira escolar
M0001456,A00118,O20240161,2024,Português,2024-04-28,0,concluida,31.5,Indicação
M0001457,A00118,O20240162,2024,Redação,2024-02-12,10,Concluída,80.5,Instagram
M0001458,A00118,O20240165,2024,SOCIOLOGIA,2024-02-03,0,Cancelada,40.9,Indicação
M0001459,A00119,O20230092,2023,Biologia,2023-03-15,10,Ativa,56.4,Google
M0001460,A00119,O20230098,2023,Filosofia,2023-04-19,,Trancada,53.5,WhatsApp
M0001461,A00119,O20230093,2023,História,2023-04-08,0,Trancada,54.7,
M0001462,A00119,O20230097,2023,Inglês,2023-02-16,30,Concluída,50.2,Google
M0001463,A00119,O20230089,2023,Matemática,2023-03-12,25,Concluída,54.0,Google
M0001464,A00119,O20230095,2023,Português,2023/04/05,30,Concluída,58.7,Feira escolar
M0001465,A00119,O20230091,2023,QUÍMICA,2023-01-21,0,Concluída,24.9,
M0001466,A00119,O20230096,2023,Redação,2023-01-12,,concluida,39.0,Google
M0001467,A00119,O20230099,2023,Sociologia,2023-04-08,20,Concluída,64.3,Google
M0001468,A00120,O20210043,2021,Filosofia,2021-04-24,0,Ativa,62.7,WhatsApp
M0001469,A00120,O20210035,2021,Física,2021-02-21,15,Trancada,77.4,
M0001470,A00120,O20210039,2021,Geografia,2021-04-03,0,Concluída,64.4,Google
M0001471,A00120,O20210042,2021,Inglês,2021-01-16,0,Ativa,73.5,Indicação
M0001472,A00120,O20210034,2021,Matemática,2021-03-08,0,Concluída,68.8,Indicação
M0001473,A00120,O20210040,2021,Português,2021-01-01,0,concluida,67.7,Indicação
M0001474,A00120,O20210041,2021,Redação,2021-04-06,50,Concluída,57.5,Feira escolar
M0001475,A00120,O20210044,2021,Sociologia,2021-04-20,50,Ativa,60.1,
M0001476,A00120,O20220070,2022,Biologia,2022-03-10,,Concluída,38.4,
M0001477,A00120,O20220076,2022,Filosofia,2022-02-17,30,Concluída,57.1,WhatsApp
M0001478,A00120,O20220072,2022,Geografia,2022-02-21,0,Concluída,53.3,Feira escolar
M0001479,A00120,O20220071,2022,História,2022-01-25,0,Concluída,62.3,
M0001480,A00120,O20220067,2022,Matemática,2022-03-03,0,Concluída,44.8,Instagram
M0001481,A00120,O20220073,2022,Português,2022-02-02,50,Ativa,60.6,Google
M0001482,A00120,O20220074,2022,Redação,2022-01-04,20,Concluída,69.3,Feira escolar
M0001483,A00120,O20220077,2022,Sociologia,2022/04/24,30,Concluída,62.1,Feira escolar
M0001484,A00120,O20230114,2023,Biologia,2023-03-01,30,Concluída,74.3,Google
M0001485,A00120,O20230112,2023,Física,2023-03-18,50,Concluída,53.7,Feira escolar
M0001486,A00120,O20230116,2023,Geografia,2023-03-05,,Concluída,29.4,WhatsApp
M0001487,A00120,O20230119,2023,Inglês,2023-04-06,0,Concluída,59.9,Feira escolar
M0001488,A00120,O20230111,2023,Matemática,2023-04-18,25,Concluída,71.2,Google
M0001489,A00120,O20230117,2023,Português,2023-02-15,0,Trancada,57.3,Feira escolar
M0001490,A00120,O20230113,2023,Química,2023/01/13,0,Cancelada,84.4,WhatsApp
M0001491,A00120,O20230118,2023,Redação,2023-04-01,10,Concluída,53.4,Google
M0001492,A00120,O20230121,2023,Sociologia,2023-01-10,,Concluída,63.2,WhatsApp
M0001493,A00121,O20230125,2023,Biologia,2023-04-06,20,Concluída,39.6,Feira escolar
M0001494,A00121,O20230131,2023,Filosofia,2023-02-02,0,Concluída,49.1,Instagram
M0001495,A00121,O20230123,2023,FÍSICA,2023-03-06,0,Concluída,52.5,WhatsApp
M0001496,A00121,O20230127,2023,Geografia,2023-03-05,0,concluida,84.9,
M0001497,A00121,O20230126,2023,História,2023-03-12,50,concluida,66.9,WhatsApp
M0001498,A00121,O20230130,2023,Inglês,2023-03-14,15,Concluída,65.2,Instagram
M0001499,A00121,O20230122,2023,Matemática,2023-01-26,10,Ativa,43.3,Feira escolar
M0001500,A00121,O20230128,2023,Português,2023-02-07,,Concluída,58.1,Feira escolar
M0001501,A00121,O20230124,2023,Química,2023-01-20,25,Concluída,49.3,Google
M0001502,A00121,O20230129,2023,Redação,2023-04-22,10,Concluída,52.4,
M0001503,A00121,O20230132,2023,Sociologia,2023-02-02,0,Concluída,26.6,Instagram
M0001504,A00122,O20240136,2024,Biologia,2024-03-22,15,Concluída,94.5,Google
M0001505,A00122,O20240142,2024,FILOSOFIA,2024-04-05,20,Concluída,67.6,Google
M0001506,A00122,O20240134,2024,Física,2024-01-04,0,Concluída,59.9,Feira escolar
M0001507,A00122,O20240138,2024,Geografia,2024-02-21,0,Concluída,60.8,Indicação
M0001508,A00122,O20240137,2024,História,2024-01-02,20,Concluída,67.7,Indicação
M0001509,A00122,O20240141,2024,Inglês,2024-02-04,25,Ativa,55.1,Indicação
M0001510,A00122,O20240133,2024,Matemática,2024-01-23,0,Concluída,60.4,Google
M0001511,A00122,O20240139,2024,Português,2024-02-18,0,concluida,37.9,
M0001512,A00122,O20240140,2024,Redação,2024-03-11,25,Concluída,57.1,Feira escolar
M0001513,A00122,O20240143,2024,Sociologia,2024-01-11,30,Cancelada,45.4,Feira escolar
M0001514,A00123,O20240169,2024,Biologia,2024-03-17,25,Concluída,34.0,
M0001515,A00123,O20240167,2024,Física,2024-01-28,10,Ativa,45.4,
M0001516,A00123,O20240171,2024,Geografia,2024-01-24,15,Concluída,72.5,WhatsApp
M0001517,A00123,O20240170,2024,História,2024-04-15,0,Ativa,66.5,Google
M0001518,A00123,O20240174,2024,Inglês,2024-01-13,0,Concluída,71.2,Indicação
M0001519,A00123,O20240166,2024,Matemática,2024-02-20,25,Ativa,43.4,
M0001520,A00123,O20240172,2024,Português,2024-03-16,25,Concluída,66.8,Feira escolar
M0001521,A00123,O20240168,2024,Química,2024-01-22,0,Concluída,42.4,
M0001522,A00123,O20240173,2024,Redação,2024-04-01,30,Concluída,47.6,Feira escolar
M0001523,A00123,O20240176,2024,Sociologia,2024-03-18,10,Concluída,72.8,WhatsApp
M0001524,A00124,O20240158,2024,BIOLOGIA,03-05-2024,10,Concluída,54.3,
M0001525,A00124,O20240164,2024,Filosofia,2024-04-12,30,concluida,56.3,Indicação
M0001526,A00124,O20240156,2024,FÍSICA,01-18-2024,0,Concluída,64.8,Instagram
M0001527,A00124,O20240160,2024,Geografia,2024-03-26,50,Concluída,77.1,WhatsApp
M0001528,A00124,O20240163,2024,Inglês,2024-02-01,30,Concluída,32.9,WhatsApp
M0001529,A00124,O20240155,2024,Matemática,2024-01-07,0,Concluída,67.6,WhatsApp
M0001530,A00124,O20240161,2024,Português,2024-04-07,20,concluida,44.2,Instagram
M0001531,A00124,O20240162,2024,Redação,2024/02/07,10,Ativa,56.2,Indicação
M0001532,A00125,O20230114,2023,Biologia,2023-04-24,0,Concluída,50.5,
M0001533,A00125,O20230120,2023,Filosofia,2023-01-23,0,Concluída,73.8,WhatsApp
M0001534,A00125,O20230112,2023,Física,2023-02-16,,Ativa,73.5,Instagram
M0001535,A00125,O20230115,2023,História,2023-01-16,0,Cancelada,57.8,
M0001536,A00125,O20230111,2023,Matemática,2023-01-16,50,Cancelada,40.7,Feira escolar
M0001537,A00125,O20230117,2023,Português,2023-03-04,15,Ativa,63.5,Instagram
M0001538,A00125,O20230118,2023,Redação,01-03-2023,25,Concluída,65.2,Instagram
M0001539,A00125,O20230121,2023,Sociologia,2023-02-08,20,Concluída,75.1,Instagram
M0001540,A00125,O20240134,2024,Física,2024-01-05,0,Concluída,41.0,
M0001541,A00125,O20240138,2024,GEOGRAFIA,2024-01-26,20,Concluída,58.0,WhatsApp
M0001542,A00125,O20240137,2024,História,2024-02-08,50,Ativa,38.5,
M0001543,A00125,O20240141,2024,Inglês,17/01/2024,25,concluida,59.2,
M0001544,A00125,O20240133,2024,Matemática,2024-01-24,10,Cancelada,100.7,Feira escolar
M0001545,A00125,O20240139,2024,Português,2024-02-10,20,Concluída,86.5,Feira escolar
M0001546,A00125,O20240135,2024,Química,2024-01-09,0,Concluída,71.0,WhatsApp
M0001547,A00125,O20240140,2024,Redação,2024-01-16,30,Concluída,78.3,Instagram
M0001548,A00126,O20230114,2023,Biologia,2023-02-21,10,Concluída,35.4,Feira escolar
M0001549,A00126,O20230120,2023,Filosofia,2023-04-01,30,Ativa,71.3,Instagram
M0001550,A00126,O20230112,2023,Física,2023-03-21,0,Ativa,47.2,Feira escolar
M0001551,A00126,O20230116,2023,Geografia,2023-03-22,0,Concluída,72.2,Feira escolar
M0001552,A00126,O20230115,2023,História,2023-03-14,0,Concluída,61.4,
M0001553,A00126,O20230119,2023,Inglês,2023-01-09,0,Concluída,55.5,Indicação
M0001554,A00126,O20230111,2023,Matemática,2023-04-07,0,Concluída,47.8,Google
M0001555,A00126,O20230117,2023,Português,2023-02-09,20,Concluída,73.7,Feira escolar
M0001556,A00126,O20230113,2023,Química,2023-01-15,20,Cancelada,68.2,Google
M0001557,A00126,O20230118,2023,Redação,2023-03-24,25,Concluída,72.4,
M0001558,A00127,O20250202,2025,Biologia,2025-02-27,20,Concluída,60.2,WhatsApp
M0001559,A00127,O20250208,2025,Filosofia,2025-04-26,15,Ativa,34.3,
M0001560,A00127,O20250200,2025,Fisica,2025-03-01,10,Concluída,54.7,Indicação
M0001561,A00127,O20250204,2025,Geografia,2025-04-24,30,Concluída,74.2,Instagram
M0001562,A00127,O20250203,2025,História,04-15-2025,,Concluída,53.3,Google
M0001563,A00127,O20250207,2025,Inglês,04-04-2025,25,Concluída,54.2,
M0001564,A00127,O20250199,2025,Matemática,2025-01-05,0,Ativa,71.5,Google
M0001565,A00127,O20250205,2025,Português,2025-01-24,10,Concluída,54.9,Feira escolar
M0001566,A00127,O20250201,2025,Quimica,2025-02-06,10,Concluída,41.1,Instagram
M0001567,A00127,O20250206,2025,Redação,2025-01-21,50,Concluída,49.5,Indicação
M0001568,A00127,O20250209,2025,Sociologia,24/02/2025,30,Concluída,54.3,Google
M0001569,A00128,O20220048,2022,Biologia,2022-04-19,0,Concluída,55.2,Instagram
M0001570,A00128,O20220046,2022,Física,2022-03-14,0,Cancelada,50.0,Google
M0001571,A00128,O20220050,2022,Geografia,2022-03-06,0,Ativa,57.7,Google
M0001572,A00128,O20220053,2022,Inglês,2022-04-06,,Concluída,68.5,WhatsApp
M0001573,A00128,O20220045,2022,Matemática,2022-01-24,30,Concluída,39.7,Feira escolar
M0001574,A00128,O20220051,2022,Português,2022-02-05,0,Concluída,60.8,Instagram
M0001575,A00128,O20220047,2022,Química,2022-01-22,30,Concluída,77.5,WhatsApp
M0001576,A00128,O20220052,2022,Redação,2022-01-22,,Concluída,56.3,WhatsApp
M0001577,A00128,O20220055,2022,Sociologia,2022-04-27,25,Concluída,64.5,Feira escolar
M0001578,A00129,O20230114,2023,Biologia,2023-03-10,0,Trancada,55.4,Instagram
M0001579,A00129,O20230120,2023,FILOSOFIA,2023-01-20,25,Concluída,59.5,Feira escolar
M0001580,A00129,O20230115,2023,História,2023-01-25,25,Concluída,51.5,
M0001581,A00129,O20230111,2023,Matemática,2023-01-18,20,Concluída,74.5,Indicação
M0001582,A00129,O20230117,2023,Português,2023-02-26,0,Concluída,71.2,Instagram
M0001583,A00129,O20230113,2023,Química,2023-03-09,0,concluida,72.0,
M0001584,A00129,O20230118,2023,Redação,2023-01-19,,Concluída,80.3,Google
M0001585,A00129,O20230121,2023,Sociologia,2023-03-11,0,Concluída,63.4,Google
M0001586,A00129,O20240136,2024,Biologia,2024-01-18,20,Concluída,47.2,Google
M0001587,A00129,O20240138,2024,Geografia,2024-03-12,10,Concluída,67.0,
M0001588,A00129,O20240137,2024,Historia,2024-02-12,15,Concluída,45.7,
M0001589,A00129,O20240141,2024,Inglês,2024-03-21,50,concluida,59.2,Feira escolar
M0001590,A00129,O20240133,2024,Matemática,2024-02-09,0,Cancelada,37.2,Indicação
M0001591,A00129,O20240139,2024,Português,2024-04-06,50,Concluída,50.4,Indicação
M0001592,A00129,O20240135,2024,Química,2024/02/06,0,Concluída,49.7,
M0001593,A00129,O20240140,2024,Redação,2024-01-21,0,Concluída,61.6,WhatsApp
M0001594,A00129,O20240143,2024,Sociologia,2024-01-18,0,Concluída,32.6,WhatsApp
M0001595,A00129,O20250180,2025,Biologia,2025-03-05,25,Concluída,57.1,Indicação
M0001596,A00129,O20250186,2025,Filosofia,2025-01-12,,Concluída,66.3,
M0001597,A00129,O20250178,2025,Física,2025-04-10,20,Ativa,61.2,Instagram
M0001598,A00129,O20250182,2025,Geografia,2025-03-18,25,Concluída,30.0,
M0001599,A00129,O20250181,2025,Historia,2025-03-28,30,Concluída,58.9,Feira escolar
M0001600,A00129,O20250185,2025,Inglês,2025-04-06,25,Ativa,43.0,Feira escolar
M0001601,A00129,O20250177,2025,Mat.,2025-01-22,10,Ativa,60.6,Indicação
M0001602,A00129,O20250183,2025,Português,2025-02-28,,Concluída,59.6,Instagram
M0001603,A00129,O20250184,2025,Redação,2025-01-17,0,Concluída,67.3,Instagram
M0001604,A00129,O20250187,2025,Sociologia,2025-04-15,20,Concluída,68.6,WhatsApp
M0001605,A00130,O20250202,2025,BIOLOGIA,2025-02-04,50,Concluída,21.7,
M0001606,A00130,O20250200,2025,Fisica,2025-01-04,10,Concluída,31.5,Feira escolar
M0001607,A00130,O20250203,2025,História,2025-04-01,10,Concluída,39.3,
M0001608,A00130,O20250207,2025,Inglês,2025-03-05,15,Concluída,55.7,WhatsApp
M0001609,A00130,O20250199,2025,MATEMÁTICA,2025-04-16,0,Ativa,46.3,Indicação
M0001610,A00130,O20250205,2025,Português,2025-03-07,0,Concluída,62.7,
M0001611,A00130,O20250201,2025,Química,2025-01-04,0,Ativa,68.0,Google
M0001612,A00130,O20250206,2025,Redação,2025-01-27,15,Concluída,61.9,
M0001613,A00130,O20250209,2025,Sociologia,2025-03-07,0,Concluída,45.3,Feira escolar
M0001614,A00131,O20250180,2025,Biologia,2025-01-01,0,Concluída,58.9,Google
M0001615,A00131,O20250178,2025,Fisica,2025-03-03,0,Ativa,25.6,WhatsApp
M0001616,A00131,O20250182,2025,Geografia,2025-03-15,20,Concluída,84.6,Feira escolar
M0001617,A00131,O20250185,2025,Inglês,2025-04-04,25,Concluída,50.6,Instagram
M0001618,A00131,O20250177,2025,Matemática,2025-04-10,50,Concluída,70.3,Feira escolar
M0001619,A00131,O20250183,2025,Português,2025-04-04,50,Cancelada,50.2,Feira escolar
M0001620,A00131,O20250179,2025,Quimica,2025-04-10,25,Concluída,46.9,
M0001621,A00131,O20250184,2025,Redação,2025-01-17,20,Concluída,75.1,
M0001622,A00131,O20250187,2025,Sociologia,2025/01/22,25,Concluída,35.1,WhatsApp
M0001623,A00132,O20210004,2021,Biologia,2021-03-09,0,Concluída,63.5,Indicação
M0001624,A00132,O20210010,2021,Filosofia,21/01/2021,0,Concluída,61.2,Feira escolar
M0001625,A00132,O20210006,2021,Geografia,2021/04/28,50,Concluída,56.4,
M0001626,A00132,O20210005,2021,História,2021-04-08,30,Concluída,61.4,Indicação
M0001627,A00132,O20210009,2021,Inglês,2021-02-27,0,Ativa,49.4,Instagram
M0001628,A00132,O20210001,2021,Matemática,2021-02-24,50,Cancelada,68.3,WhatsApp
M0001629,A00132,O20210007,2021,PORTUGUÊS,2021-04-18,0,Ativa,74.2,Feira escolar
M0001630,A00132,O20210003,2021,Quimica,2021-02-11,20,,41.6,Google
M0001631,A00132,O20210008,2021,Redação,2021-01-27,30,Ativa,55.3,Feira escolar
M0001632,A00132,O20210011,2021,Sociologia,2021-02-06,25,Concluída,47.7,
M0001633,A00133,O20240164,2024,Filosofia,03/04/2024,25,Concluída,74.8,Google
M0001634,A00133,O20240156,2024,Física,2024-03-20,0,Concluída,59.6,
M0001635,A00133,O20240155,2024,Matemática,2024-03-18,30,Ativa,73.0,Feira escolar
M0001636,A00133,O20240161,2024,Português,2024-01-14,25,Concluída,31.4,
M0001637,A00133,O20240157,2024,Química,2024-03-22,15,Concluída,27.2,Google
M0001638,A00133,O20240162,2024,Redação,2024-03-02,50,Ativa,40.4,Instagram
M0001639,A00133,O20240165,2024,Sociologia,2024-03-14,20,Concluída,52.3,
M0001640,A00133,O20250208,2025,FILOSOFIA,2025-04-20,0,Concluída,72.1,Instagram
M0001641,A00133,O20250200,2025,Física,2025-01-19,0,Concluída,53.8,Feira escolar
M0001642,A00133,O20250204,2025,Geografia,2025-02-15,20,concluida,58.1,Feira escolar
M0001643,A00133,O20250203,2025,História,2025-04-19,25,Ativa,73.8,WhatsApp
M0001644,A00133,O20250207,2025,Inglês,2025-01-01,30,Concluída,54.2,WhatsApp
M0001645,A00133,O20250199,2025,Matemática,14/04/2025,50,Concluída,57.0,Instagram
M0001646,A00133,O20250205,2025,Português,2025-03-17,0,Concluída,55.2,Instagram
M0001647,A00133,O20250201,2025,Química,2025-02-16,0,Ativa,59.0,Instagram
M0001648,A00133,O20250206,2025,Redação,2025-01-11,25,Ativa,72.3,Feira escolar
M0001649,A00133,O20250209,2025,Sociologia,2025-03-11,30,Concluída,63.1,Google
M0001650,A00134,O20240147,2024,Biologia,2024-02-16,20,Cancelada,73.6,WhatsApp
M0001651,A00134,O20240153,2024,Filosofia,2024-04-03,20,Concluída,60.3,Feira escolar
M0001652,A00134,O20240145,2024,Física,03-12-2024,0,Ativa,71.9,
M0001653,A00134,O20240149,2024,Geografia,2024-04-05,20,Concluída,46.1,WhatsApp
M0001654,A00134,O20240152,2024,Inglês,2024-01-02,0,Concluída,64.4,
M0001655,A00134,O20240144,2024,Matemática,2024-04-26,0,Concluída,57.0,Indicação
M0001656,A00134,O20240150,2024,Português,2024-02-28,25,Concluída,57.0,
