resultado_id,simulado_id,aluno_id,ano,status_realizacao,nota,acertos,tempo_finalizacao_min,inicio_simulado,dispositivo,tentativas,unidade_aplicacao
R00006952,S20220054,A00264,2022,Finalizado,80.8,16,157,2022-05-05 12:45,desktop,3,Centro
R00006953,S20220054,A00544,2022,Finalizado,76.8,16,202,2022-04-13 14:30,Papel,,
R00006954,S20220054,A00313,2022,Incompleto,74.0,14,132,2022/06/19 11:15,,1,Centro
R00006955,S20220054,A00110,2022,Incompleto,80.4,14,60,2022-09-27 08:15,Celular,3,online
R00006956,S20220054,A00410,2022,Finalizado,91.7,18,154,2022-05-04,,1,
R00006957,S20220054,A00104,2022,finalizado,93.1,14,129,2022-05-26 14:15,Desktop,3,Centro
R00006958,S20220054,A00721,2022,,73.8,12,133,2022-08-11 16:30,Papel,1,online
R00006959,S20220054,A00076,2022,Finalizado,8.5,1,119,2022-11-13 17:45,Tablet,1,Online
R00006960,S20220054,A00428,2022,Finalizado,67.1,16,134,2022-05-25 08:15,desktop,1,Aldeota
R00006961,S20220054,A00102,2022,Finalizado,66.5,13,82,2022-08-25 15:15,desktop,1,Sul
R00006962,S20220054,A00651,2022,Finalizado,72.6,11,122,2022-09-15 10:15,Celular,1,
R00006963,S20220055,A00692,2022,Finalizado,661.5,,66,2022-07-13 13:45,Tablet,3,Online
R00006964,S20220055,A00148,2022,Finalizado,741.4,,62,2022-05-08 14:30,Celular,1,
R00006965,S20220055,A00383,2022,finalizado,818.4,,31,2022-04-14 08:30,Desktop,3,Aldeota
R00006966,S20220055,A00077,2022,Finalizado,557.3,,24,2022-07-23 17:45,Tablet,3,Aldeota
R00006967,S20220055,A00637,2022,Incompleto,692.2,,45,2022-08-06 15:15,Tablet,3,online
R00006968,S20220055,A00288,2022,Finalizado,792.7,,53,2022-06-24 17:45,Desktop,1,Sul
R00006969,S20220055,A00566,2022,Finalizado,647.7,,40,2022-10-27 13:45,desktop,1,Sul
R00006970,S20220055,A00031,2022,Finalizado,749.3,,28,2022-09-02 11:45,,1,Sul
R00006971,S20220055,A00428,2022,Finalizado,795.5,,76,2022-07-21 09:45,Papel,1,Centro
R00006972,S20220055,A00650,2022,Finalizado,801.5,,38,2022-08-21 12:30,Desktop,1,Sul
R00006973,S20220055,A00689,2022,Finalizado,656.7,,34,2022-09-24 10:15,desktop,1,online
R00006974,S20220055,A00752,2022,Finalizado,778.3,,43,2022-10-20 15:00,,1,Sul
R00006975,S20220055,A00714,2022,Finalizado,845.9,,0,2022-05-09 17:45,Papel,3,Centro
R00006976,S20220055,A00114,2022,Finalizado,732.4,,26,2022-07-02 19:45,Tablet,1,
R00006977,S20220055,A00522,2022,Finalizado,648.9,,36,2022-05-16 14:15,,1,Online
R00006978,S20220055,A00518,2022,Incompleto,874.4,,33,2022-06-22 12:45,desktop,2,online
R00006979,S20220055,A00616,2022,Finalizado,584.8,,26,2022-11-01 09:45,Tablet,1,Online
R00006980,S20220055,A00363,2022,Finalizado,663.0,,33,2022-08-11 13:45,Desktop,1,Online
R00006981,S20220055,A00056,2022,Finalizado,769.2,,35,09-06-2022 09:00,,3,Online
R00006982,S20220055,A00610,2022,Finalizado,693.1,,34,2022-05-02 15:30,desktop,1,Centro
R00006983,S20220055,A00476,2022,Finalizado,732.4,,51,2022-11-28 13:45,Papel,1,online
R00006984,S20220055,A00070,2022,Finalizado,755.2,,58,2022-05-22 11:30,Papel,1,Aldeota
R00006985,S20220055,A00520,2022,Finalizado,684.0,,31,2022-05-24 08:00,Desktop,1,Sul
R00006986,S20220055,A00599,2022,Finalizado,946.4,,38,2022-06-08 15:30,Papel,1,Aldeota
R00006987,S20220055,A00355,2022,Finalizado,838.6,,22,06/04/2022 09:45,Desktop,1,online
R00006988,S20220055,A00718,2022,Finalizado,594.7,,50,2022-04-08,desktop,1,online
R00006989,S20220055,A00489,2022,Finalizado,654.3,,47,2022-07-17 14:00,,3,Sul
R00006990,S20220055,A00330,2022,Ausente,,,,2022-04-12 09:00,,1,Online
R00006991,S20220055,A00486,2022,Finalizado,760.5,,51,2022-08-06 15:30,Celular,2,Online
R00006992,S20220055,A00016,2022,finalizado,713.4,,44,2022-10-01 18:30,Celular,1,Aldeota
R00006993,S20220055,A00748,2022,Finalizado,562.6,,60,2022-07-01 13:15,Tablet,,Centro
R00006994,S20220055,A00228,2022,Finalizado,627.1,,43,2022-05-16 11:00,,1,Online
R00006995,S20220055,A00058,2022,Finalizado,858.1,,57,2022-08-03 18:15,desktop,1,
R00006996,S20220055,A00544,2022,Finalizado,628.9,,64,2022-10-07 16:45,,1,
R00006997,S20220055,A00475,2022,Finalizado,751.6,,57,2022-10-09 08:15,,1,online
R00006998,S20220055,A00671,2022,Finalizado,862.7,,33,2022-09-12 09:45,,3,
R00006999,S20220055,A00398,2022,Finalizado,549.9,,46,2022-06-16 17:30,desktop,,Online
R00007000,S20220055,A00607,2022,Finalizado,684.6,,58,2022-08-05 16:45,Celular,1,Sul
R00007001,S20220055,A00794,2022,Finalizado,840.9,,35,2022-05-16 13:00,Tablet,1,
R00007002,S20220055,A00022,2022,finalizado,664.7,,58,2022-08-18 12:15,desktop,1,
R00007003,S20220055,A00025,2022,Finalizado,678.8,,38,2022-09-06 18:30,Papel,3,Centro
R00007004,S20220055,A00098,2022,Ausente,,,,2022-09-15 09:30,Papel,,Aldeota
R00007005,S20220055,A00629,2022,Finalizado,443.5,,29,2022-06-12 09:30,desktop,1,
R00007006,S20220055,A00771,2022,Finalizado,855.4,,22,2022-08-08 08:45,desktop,1,Centro
R00007007,S20220055,A00162,2022,Finalizado,712.9,,24,2022-08-23 08:15,Papel,,Centro
R00007008,S20220055,A00282,2022,Finalizado,843.2,,20,2022-08-28 11:15,,3,Centro
R00007009,S20220055,A00537,2022,Finalizado,838.8,,37,2022-08-01 15:15,desktop,3,Sul
R00007010,S20220055,A00155,2022,Finalizado,733.4,,59,2022-09-21 12:30,Papel,1,
R00007011,S20220055,A00613,2022,Finalizado,775.3,,30,2022-04-01 10:15,Papel,1,online
R00007012,S20220055,A00651,2022,Finalizado,788.9,,63,2022-07-08 11:30,Papel,1,Online
R00007013,S20220055,A00507,2022,Finalizado,943.7,,36,2022-11-26 15:45,,2,online
R00007014,S20220055,A00003,2022,Finalizado,777.3,,33,2022-08-08 13:00,Tablet,1,Centro
R00007015,S20220055,A00562,2022,Incompleto,867.8,,56,2022/08/28 11:45,Papel,1,Online
R00007016,S20220055,A00283,2022,Finalizado,763.6,,12,2022-09-25 09:00,Celular,1,Centro
R00007017,S20220055,A00128,2022,Finalizado,794.7,,57,2022-05-25 13:00,desktop,3,online
R00007018,S20220055,A00303,2022,Finalizado,867.4,,20,2022-09-01 18:15,desktop,,Centro
R00007019,S20220055,A00038,2022,Finalizado,696.4,,51,2022-10-03 17:15,desktop,1,online
R00007020,S20220055,A00384,2022,Ausente,,,,2022-11-28 10:15,Tablet,1,Aldeota
R00007021,S20220055,A00324,2022,Finalizado,491.5,,52,2022-04-12 10:45,Papel,3,Sul
R00007022,S20220055,A00054,2022,Finalizado,748.3,,25,2022-05-02 10:30,Papel,1,Online
R00007023,S20220055,A00556,2022,Ausente,,,,2022-11-23 11:15,Papel,1,Aldeota
R00007024,S20220055,A00011,2022,Finalizado,689.5,,70,24/09/2022 09:45,,1,Online
R00007025,S20220055,A00593,2022,Finalizado,698.1,,59,2022-04-15 13:30,Desktop,1,online
R00007026,S20220055,A00314,2022,Finalizado,822.3,,43,2022-08-24 19:00,Tablet,1,
R00007027,S20220055,A00665,2022,Finalizado,771.0,,45,2022-09-23 10:45,Desktop,2,Aldeota
R00007028,S20220055,A00381,2022,Finalizado,848.6,,50,2022-07-14 08:45,Papel,1,online
R00007029,S20220055,A00625,2022,Finalizado,677.1,,51,2022-04-03 14:45,Desktop,1,Online
R00007030,S20220055,A00250,2022,Finalizado,674.3,,39,23/04/2022 13:15,Papel,3,Online
R00007031,S20220055,A00414,2022,Ausente,,,,2022-08-01,desktop,1,Sul
R00007032,S20220055,A00538,2022,Incompleto,803.4,,51,2022-05-27,Papel,1,Centro
R00007033,S20220055,A00471,2022,Finalizado,595.0,,64,2022-09-26 13:00,Tablet,,Aldeota
R00007034,S20220055,A00217,2022,Finalizado,511.5,,22,2022-10-26 15:00,desktop,1,Centro
R00007035,S20220055,A00336,2022,Ausente,,,,2022-11-07 13:00,Tablet,3,Aldeota
R00007036,S20220055,A00304,2022,Finalizado,608.0,,57,2022-11-06 09:00,Papel,3,Sul
R00007037,S20220055,A00553,2022,Finalizado,833.3,,52,06-08-2022 14:45,Desktop,3,Online
R00007038,S20220055,A00299,2022,finalizado,817.5,,44,2022-06-04 12:45,Tablet,3,Centro
R00007039,S20220055,A00346,2022,Finalizado,646.3,,43,2022-09-03 13:15,Celular,3,
R00007040,S20220055,A00433,2022,Finalizado,739.2,,35,2022-09-14,Tablet,1,Online
R00007041,S20220055,A00110,2022,Finalizado,959.6,,55,27/11/2022 12:00,Papel,,Sul
R00007042,S20220055,A00195,2022,Finalizado,721.9,,27,05/04/2022 12:00,,1,Online
R00007043,S20220055,A00571,2022,Finalizado,948.8,,32,2022-08-13 17:00,Papel,3,Sul
R00007044,S20220055,A00181,2022,Finalizado,698.5,,29,2022-09-24 10:45,Desktop,2,Sul
R00007045,S20220055,A00481,2022,Finalizado,800.6,,55,2022-08-03 10:00,,1,Sul
R00007046,S20220055,A00015,2022,Finalizado,897.7,,46,2022-10-24 13:15,,3,online
R00007047,S20220055,A00064,2022,Finalizado,761.2,,53,2022-11-09,,1,Sul
R00007048,S20220055,A00074,2022,Finalizado,781.9,,57,2022-10-06 16:15,Tablet,1,Centro
R00007049,S20220055,A00048,2022,Finalizado,571.3,,55,2022-08-05 15:30,Celular,2,
R00007050,S20220055,A00313,2022,Finalizado,673.0,,45,2022-09-21 09:45,desktop,1,Sul
R00007051,S20220055,A00729,2022,Finalizado,657.9,,53,2022-08-01 10:15,Tablet,,Centro
R00007052,S20220055,A00010,2022,Finalizado,647.2,,63,2022/04/28 09:15,Celular,1,Online
R00007053,S20220055,A00441,2022,Finalizado,704.7,,43,2022-06-13 12:00,desktop,2,Aldeota
R00007054,S20220055,A00699,2022,Finalizado,681.0,,42,2022-11-11 14:00,,1,Centro
R00007055,S20220055,A00636,2022,Finalizado,737.2,,51,2022-05-08 11:00,desktop,1,online
R00007056,S20220055,A00026,2022,Finalizado,818.7,,48,2022-11-12,desktop,1,Sul
R00007057,S20220055,A00559,2022,Finalizado,575.4,,50,2022-10-19 16:00,,2,Sul
R00007058,S20220055,A00338,2022,Ausente,,,,2022-06-21 15:30,Celular,1,Centro
R00007059,S20220055,A00078,2022,finalizado,670.5,,47,2022-04-01 18:00,Tablet,3,Sul
R00007060,S20220055,A00120,2022,Finalizado,697.2,,48,2022-04-19 11:00,Tablet,3,Centro
R00007061,S20220055,A00246,2022,Finalizado,665.2,,53,2022-04-10 10:30,Celular,3,Sul
R00007062,S20220055,A00392,2022,Finalizado,700.7,,54,2022-05-03 17:15,,1,
R00007063,S20220055,A00708,2022,,755.8,,21,2022-06-20 14:30,Desktop,,Centro
R00007064,S20220055,A00043,2022,Finalizado,840.2,,39,2022-11-14 16:00,Tablet,1,Centro
R00007065,S20220055,A00773,2022,Finalizado,657.9,,48,2022-05-11 11:30,Celular,1,
R00007066,S20220055,A00035,2022,Finalizado,740.8,,46,2022-09-25 16:45,desktop,3,Centro
R00007067,S20220055,A00403,2022,Finalizado,612.8,,29,2022-09-10 14:00,Papel,1,online
R00007068,S20220055,A00088,2022,Finalizado,875.2,,42,2022-07-02 14:15,Celular,2,online
R00007069,S20220055,A00249,2022,Finalizado,794.2,,19,2022-09-14 15:00,Tablet,1,Online
R00007070,S20220055,A00240,2022,Finalizado,770.7,,57,2022-10-08 18:45,Tablet,3,
R00007071,S20220055,A00076,2022,Finalizado,819.4,,50,2022-10-12 13:45,Desktop,3,
R00007072,S20220055,A00115,2022,Finalizado,661.9,,60,2022-09-18 12:00,Tablet,1,Aldeota
R00007073,S20220055,A00215,2022,finalizado,603.7,,51,2022-05-08 18:30,Papel,1,Centro
R00007074,S20220055,A00721,2022,Finalizado,600.7,,40,2022-07-03 08:15,Desktop,3,Centro
R00007075,S20220055,A00140,2022,Finalizado,737.2,,45,08/09/2022 09:00,Celular,,Online
R00007076,S20220055,A00733,2022,Ausente,,,,14/11/2022 17:00,Desktop,1,online
R00007077,S20220056,A00599,2022,Finalizado,655.9,,54,2022-10-05 15:00,,1,Centro
R00007078,S20220056,A00518,2022,Finalizado,745.7,,67,2022-04-15 08:30,Papel,1,online
R00007079,S20220056,A00015,2022,Incompleto,953.8,,53,2022-07-18 18:45,Papel,1,Sul
R00007080,S20220056,A00148,2022,Finalizado,531.7,,77,05-15-2022 09:30,,1,online
R00007081,S20220056,A00346,2022,Finalizado,775.0,,40,2022-09-12,Papel,1,Online
R00007082,S20220056,A00398,2022,Finalizado,639.5,,63,2022-04-16 16:00,desktop,1,Centro
R00007083,S20220056,A00488,2022,Finalizado,517.3,,71,2022-11-14 17:00,Papel,1,Centro
R00007084,S20220056,A00384,2022,Finalizado,781.8,,98,2022-07-01 16:00,Celular,1,Online
R00007085,S20220056,A00593,2022,Finalizado,797.9,,83,2022-11-04 18:00,desktop,1,
R00007086,S20220056,A00339,2022,Finalizado,808.4,,51,2022-04-02 18:45,Desktop,1,online
R00007087,S20220056,A00556,2022,Finalizado,688.9,,63,2022-11-14 16:30,desktop,1,Aldeota
R00007088,S20220056,A00048,2022,Finalizado,606.9,,52,2022-11-15 19:30,Papel,1,Sul
R00007089,S20220056,A00343,2022,Finalizado,733.1,,70,2022-10-26 18:15,Desktop,2,Centro
R00007090,S20220056,A00078,2022,Finalizado,721.1,,59,2022-10-18 18:15,Tablet,1,online
R00007091,S20220056,A00392,2022,Ausente,,,,2022-08-09 19:45,desktop,1,Centro
R00007092,S20220056,A00187,2022,Finalizado,655.6,,52,2022-10-05 09:15,desktop,2,Online
R00007093,S20220056,A00773,2022,Finalizado,630.4,,67,2022-09-16 09:00,Desktop,1,Aldeota
R00007094,S20220056,A00699,2022,Ausente,,,,2022-04-27 11:15,Papel,3,Aldeota
R00007095,S20220056,A00707,2022,Finalizado,829.9,,49,2022-10-20 19:45,Papel,2,online
R00007096,S20220056,A00003,2022,Finalizado,650.0,,47,2022-11-07 10:45,,1,
R00007097,S20220056,A00099,2022,Incompleto,894.1,,53,2022-09-21 12:45,Desktop,1,online
R00007098,S20220056,A00551,2022,Finalizado,976.8,,80,2022-10-03 14:15,Celular,3,Sul
R00007099,S20220056,A00162,2022,Finalizado,688.9,,60,2022-08-17 12:15,Celular,1,Aldeota
R00007100,S20220056,A00043,2022,Finalizado,764.5,,44,2022-08-02 12:15,Celular,,Aldeota
R00007101,S20220056,A00718,2022,Finalizado,739.6,,90,2022-04-16,desktop,1,Online
R00007102,S20220056,A00056,2022,Finalizado,685.1,,56,2022-11-22 18:45,Celular,1,Centro
R00007103,S20220056,A00304,2022,Finalizado,625.9,,19,2022/08/27 17:00,Celular,1,Centro
R00007104,S20220056,A00651,2022,Finalizado,636.4,,23,2022-04-21,,1,Aldeota
R00007105,S20220056,A00038,2022,Finalizado,667.9,,71,02/09/2022 15:15,Desktop,2,Centro
R00007106,S20220056,A00637,2022,Finalizado,369.4,,65,2022-04-28 18:00,Celular,1,
R00007107,S20220056,A00234,2022,Ausente,,,,2022-04-01 15:00,,2,Centro
R00007108,S20220056,A00095,2022,Finalizado,586.4,,83,2022-11-01 12:15,Papel,2,Aldeota
R00007109,S20220056,A00011,2022,finalizado,818.1,,85,2022-07-27 16:45,Celular,3,Aldeota
R00007110,S20220056,A00571,2022,Finalizado,778.5,,68,2022-08-07 11:00,Celular,1,Aldeota
R00007111,S20220056,A00303,2022,,872.1,,55,2022-04-18 15:15,Tablet,1,Online
R00007112,S20220056,A00634,2022,Finalizado,583.7,,57,2022-05-02 18:15,Celular,1,Online
R00007113,S20220056,A00195,2022,finalizado,866.1,,69,2022-05-07,Desktop,1,Sul
R00007114,S20220056,A00748,2022,Finalizado,747.7,,84,2022-08-11 12:15,desktop,1,online
R00007115,S20220056,A00299,2022,Finalizado,603.4,,26,2022-10-11 12:00,Tablet,,online
R00007116,S20220056,A00750,2022,Finalizado,976.4,,49,2022-10-17 10:15,Papel,1,Online
R00007117,S20220056,A00562,2022,Finalizado,730.1,,84,2022-05-05 16:15,,,Sul
R00007118,S20220056,A00076,2022,,637.4,,49,2022-08-19 15:30,,,Sul
R00007119,S20220056,A00537,2022,Ausente,,,,2022-07-18 19:30,,3,Aldeota
R00007120,S20220056,A00553,2022,Finalizado,847.6,,96,2022-09-03 09:00,desktop,3,Online
R00007121,S20220056,A00102,2022,Finalizado,698.3,,63,2022-06-13 15:45,Tablet,,online
R00007122,S20220056,A00140,2022,finalizado,727.3,,68,2022-07-14,Tablet,2,
R00007123,S20220056,A00246,2022,Finalizado,877.1,,59,2022-11-23 11:15,Celular,,Online
R00007124,S20220056,A00291,2022,finalizado,788.0,,44,10-18-2022 14:00,desktop,1,Online
R00007125,S20220056,A00486,2022,Finalizado,683.0,,77,2022-10-09 12:15,Desktop,1,online
R00007126,S20220056,A00520,2022,Finalizado,483.9,,46,2022-05-02 19:00,Tablet,1,online
R00007127,S20220056,A00650,2022,Finalizado,677.1,,66,2022-08-10 14:30,Papel,2,Online
R00007128,S20220056,A00328,2022,Finalizado,642.2,,69,2022-10-10 10:15,Papel,3,Centro
R00007129,S20220056,A00636,2022,,732.8,,95,2022-05-28 19:15,Desktop,,Centro
R00007130,S20220056,A00024,2022,Finalizado,595.8,,74,2022-08-11 11:30,Celular,,Aldeota
R00007131,S20220056,A00016,2022,Finalizado,640.0,,91,2022-09-09 08:00,Papel,2,Centro
R00007132,S20220056,A00489,2022,Incompleto,778.5,,37,2022-08-16 11:00,Celular,,Aldeota
R00007133,S20220056,A00033,2022,Finalizado,777.3,,77,2022-04-04 08:30,Papel,2,Centro
R00007134,S20220056,A00381,2022,Finalizado,797.3,,80,2022-10-13 13:15,Celular,1,Sul
R00007135,S20220056,A00240,2022,Finalizado,704.9,,77,2022-05-24 14:45,Tablet,1,Sul
R00007136,S20220056,A00733,2022,Finalizado,978.7,,53,2022-05-22 19:00,Papel,,online
R00007137,S20220056,A00629,2022,Finalizado,882.3,,72,2022-06-19 11:00,desktop,1,
R00007138,S20220056,A00179,2022,Finalizado,696.8,,53,2022/09/22 14:30,Tablet,1,Sul
R00007139,S20220056,A00740,2022,Finalizado,660.8,,38,2022-09-17 18:15,desktop,1,
R00007140,S20220056,A00144,2022,Finalizado,819.2,,54,2022-07-25 14:45,Papel,1,
R00007141,S20220056,A00094,2022,Finalizado,807.9,,47,2022-04-12 11:15,Celular,1,Aldeota
R00007142,S20220056,A00060,2022,Finalizado,608.9,,76,14/11/2022 15:30,,,Online
R00007143,S20220056,A00481,2022,Finalizado,750.1,,78,2022-11-28 14:00,Papel,,Online
R00007144,S20220056,A00115,2022,Finalizado,513.6,,66,2022-08-10 18:45,Tablet,,Online
R00007145,S20220056,A00275,2022,Finalizado,731.7,,23,2022-06-01 13:30,Tablet,1,Centro
R00007146,S20220056,A00471,2022,Ausente,,,,2022-09-14 17:45,Desktop,,online
R00007147,S20220056,A00054,2022,Finalizado,632.4,,74,2022-05-13 09:45,Tablet,1,Sul
R00007148,S20220056,A00403,2022,Finalizado,678.2,,68,2022-07-19 14:45,Papel,1,Aldeota
R00007149,S20220056,A00671,2022,Finalizado,887.4,,70,2022-10-17 13:00,Celular,1,Online
R00007150,S20220056,A00475,2022,Finalizado,487.0,,88,2022-09-06 18:00,Tablet,1,online
R00007151,S20220056,A00677,2022,Finalizado,668.9,,36,2022-05-07 09:30,desktop,,Sul
R00007152,S20220056,A00114,2022,Finalizado,692.0,,60,2022-07-16 12:00,,3,online
R00007153,S20220056,A00721,2022,Finalizado,712.7,,71,2022-09-10 10:15,Tablet,3,Aldeota
R00007154,S20220056,A00507,2022,Finalizado,418.7,,60,2022-05-12 16:00,,1,Centro
R00007155,S20220056,A00600,2022,Incompleto,742.0,,43,2022-09-20 11:15,Tablet,1,Aldeota
R00007156,S20220056,A00689,2022,Finalizado,655.4,,58,2022-10-27 16:45,Desktop,3,Centro
R00007157,S20220056,A00662,2022,finalizado,110,,73,2022-09-16 13:00,Tablet,3,
R00007158,S20220056,A00074,2022,Finalizado,883.8,,58,2022-05-26 18:00,desktop,,Sul
R00007159,S20220056,A00443,2022,Finalizado,755.8,,87,2022-08-13 09:30,Celular,2,Sul
R00007160,S20220056,A00428,2022,Finalizado,704.8,,24,2022-07-08 15:15,Celular,3,Centro
R00007161,S20220056,A00692,2022,Finalizado,646.8,,41,2022-04-02 10:00,Desktop,,Aldeota
R00007162,S20220056,A00395,2022,Finalizado,493.1,,79,2022-08-22,,,online
R00007163,S20220056,A00363,2022,Finalizado,679.5,,49,2022-07-08 18:30,Celular,,Aldeota
R00007164,S20220056,A00296,2022,Finalizado,632.6,,58,08/05/2022 12:30,Tablet,1,
R00007165,S20220056,A00110,2022,finalizado,630.4,,74,2022-05-06 15:00,desktop,,Centro
R00007166,S20220056,A00393,2022,Finalizado,756.1,,67,2022-09-21 12:15,,3,Aldeota
R00007167,S20220056,A00433,2022,Finalizado,796.3,,80,2022-05-28 12:45,Papel,3,Centro
R00007168,S20220056,A00010,2022,Finalizado,790.8,,60,2022-04-12 12:00,Papel,2,Sul
R00007169,S20220056,A00035,2022,Finalizado,577.3,,65,2022-08-02 12:30,Desktop,1,
R00007170,S20220056,A00058,2022,Ausente,,,,2022-06-15 19:45,Celular,1,Sul
R00007171,S20220056,A00441,2022,Finalizado,634.4,,86,2022-04-04 19:45,desktop,1,Aldeota
R00007172,S20220056,A00687,2022,Finalizado,989.8,,103,2022-04-22 10:00,Papel,,Aldeota
R00007173,S20220056,A00301,2022,Finalizado,870.4,,49,28/04/2022 13:45,Celular,1,
R00007174,S20220056,A00417,2022,Incompleto,764.5,,50,2022-08-01 19:15,Celular,3,
R00007175,S20220056,A00675,2022,Finalizado,724.0,,63,21/07/2022 13:15,,3,Centro
R00007176,S20220056,A00595,2022,Finalizado,729.7,,46,2022-07-23 10:45,,3,online
R00007177,S20220056,A00613,2022,Finalizado,765.2,,89,2022-10-22 18:00,,1,Centro
R00007178,S20220056,A00338,2022,Finalizado,808.0,,113,2022-04-05 18:15,,1,Online
R00007179,S20220056,A00018,2022,Incompleto,850.0,,92,2022-11-08 13:45,Desktop,1,online
R00007180,S20220056,A00288,2022,Ausente,,,,2022-07-05 09:15,Desktop,1,Sul
R00007181,S20220056,A00128,2022,Ausente,,,,2022-07-19 19:00,Tablet,2,Online
R00007182,S20220056,A00120,2022,Finalizado,679.9,,45,2022-11-19 19:45,Celular,1,
R00007183,S20220056,A00676,2022,Ausente,,,,2022-09-23 15:15,Celular,1,Aldeota
R00007184,S20220056,A00025,2022,Ausente,,,,2022-11-09 17:30,Tablet,2,online
R00007185,S20220056,A00083,2022,Finalizado,638.7,,63,2022-09-18 08:45,Papel,,Sul
R00007186,S20220056,A00242,2022,Finalizado,560.7,,79,2022-05-24,desktop,1,Sul
R00007187,S20220056,A00625,2022,Finalizado,905.7,,46,2022-08-06 18:45,Tablet,3,Aldeota
R00007188,S20220056,A00324,2022,Ausente,,,,2022-08-09 14:00,Tablet,3,Sul
R00007189,S20220056,A00249,2022,Finalizado,850.7,,72,2022-10-03 09:30,desktop,3,online
R00007190,S20220056,A00031,2022,Finalizado,685.3,,81,2022-10-27 11:30,Celular,1,Sul
R00007191,S20220056,A00064,2022,Finalizado,640.9,,60,18/05/2022,Papel,1,Aldeota
R00007192,S20220056,A00729,2022,Finalizado,824.7,,60,2022-05-06 11:15,desktop,1,
R00007193,S20220056,A00104,2022,Finalizado,615.9,,65,2022-10-26 13:30,Celular,,Aldeota
R00007194,S20220056,A00070,2022,Incompleto,609.4,,84,2022-09-05 18:30,,2,online
R00007195,S20220056,A00155,2022,Finalizado,622.7,,70,2022-11-03 15:45,Desktop,1,Aldeota
R00007196,S20220056,A00228,2022,Finalizado,620.9,,77,2022-07-25 12:15,desktop,1,Aldeota
R00007197,S20220056,A00092,2022,Finalizado,674.8,,92,2022-08-17 15:00,Tablet,3,Online
R00007198,S20220056,A00215,2022,Incompleto,794.8,,51,2022-07-15 12:30,,1,online
R00007199,S20220056,A00616,2022,Finalizado,629.9,,44,2022-04-05 16:30,Papel,2,
R00007200,S20220056,A00282,2022,Finalizado,879.9,,72,08-04-2022 16:45,Celular,2,Online
R00007201,S20220056,A00181,2022,Finalizado,738.5,,51,2022/10/21 09:45,Desktop,1,
R00007202,S20220056,A00355,2022,Finalizado,742.4,,81,2022-08-07 10:15,desktop,1,Aldeota
R00007203,S20220056,A00771,2022,finalizado,683.2,,48,2022-08-04 11:45,Desktop,2,
R00007204,S20220056,A00410,2022,Finalizado,684.2,,75,2022-10-19 11:45,Desktop,3,online
R00007205,S20220056,A00135,2022,Finalizado,766.7,,56,06-25-2022 17:45,Celular,1,Aldeota
R00007206,S20220056,A00522,2022,Incompleto,747.4,,44,2022-08-14 18:15,desktop,,Centro
R00007207,S20220056,A00336,2022,Finalizado,580.5,,77,2022-08-05 08:45,Celular,1,Sul
R00007208,S20220056,A00661,2022,Finalizado,706.7,,38,2022-05-09 11:45,desktop,,
R00007209,S20220056,A00313,2022,Finalizado,600.0,,88,2022/11/21 16:30,Desktop,1,Aldeota
R00007210,S20220056,A00544,2022,Finalizado,567.9,,67,2022/10/01 08:15,,3,Aldeota
R00007211,S20220056,A00714,2022,Finalizado,777.2,,66,2022-07-05 14:15,desktop,3,Centro
R00007212,S20220056,A00414,2022,Finalizado,539.2,,85,2022-07-25 18:15,desktop,,Online
R00007213,S20220056,A00250,2022,Finalizado,926.7,,54,2022/07/11,Papel,1,Online
R00007214,S20220056,A00383,2022,Finalizado,781.3,,86,2022-11-01 12:30,Papel,3,Online
R00007215,S20220057,A00551,2022,Finalizado,886.1,,53,2022-11-13 15:30,Desktop,1,
R00007216,S20220057,A00104,2022,Finalizado,779.9,,33,2022-08-18 09:00,Tablet,1,Online
R00007217,S20220057,A00304,2022,Finalizado,774.7,,42,2022-11-10 11:00,desktop,1,Aldeota
R00007218,S20220057,A00794,2022,Finalizado,778.5,,21,2022-10-19 17:30,Desktop,1,Online
R00007219,S20220057,A00410,2022,Finalizado,600.2,,72,2022-07-09 14:45,desktop,3,Aldeota
R00007220,S20220057,A00689,2022,Finalizado,562.2,,41,2022-11-26 18:15,,3,
R00007221,S20220057,A00441,2022,Finalizado,625.3,,42,2022-11-05 10:15,Celular,,online
R00007222,S20220057,A00026,2022,Finalizado,733.3,,41,2022-04-02,Celular,3,Online
R00007223,S20220057,A00301,2022,Finalizado,708.5,,46,2022-08-25 18:00,,,online
R00007224,S20220057,A00095,2022,Finalizado,777.6,,45,2022-09-05 10:15,Tablet,3,Centro
R00007225,S20220057,A00048,2022,Finalizado,695.7,,44,2022-04-25 11:15,,,Aldeota
R00007226,S20220057,A00613,2022,Finalizado,827.5,,43,2022-10-22 14:45,desktop,1,
R00007227,S20220057,A00010,2022,Finalizado,746.0,,53,2022-11-13 10:00,Desktop,1,
R00007228,S20220057,A00475,2022,Finalizado,668.7,,48,2022-08-10 10:00,,1,Centro
R00007229,S20220057,A00015,2022,Finalizado,761.4,,46,2022-10-18 19:00,Papel,1,Sul
R00007230,S20220057,A00625,2022,Finalizado,634.1,,26,2022-04-22 08:00,Papel,1,
R00007231,S20220057,A00162,2022,Ausente,,,,2022-07-03 12:30,Tablet,1,
R00007232,S20220057,A00607,2022,Finalizado,816.7,,38,2022-07-20 12:45,Celular,1,Online
R00007233,S20220057,A00003,2022,Finalizado,738.5,,27,2022-05-22 18:00,Celular,1,online
